,0,1
0,490-dog-years-old-funny-70th-birthday-gift,1
1,490-dog-years-old-funny-70th-birthday-gift-169,1
2,a-funny-this-is-fine-doggo-shirt-mug,1
3,a-girl-her-dog-and-her-jeeps-off-road-retro,1
4,a-man-cannot-survive-on-beer-alone-he-also,1
5,a-woman-can-not-survive-on-coffee-alone-she,1
6,a-woman-cannot-survive-on-books-alone-she,1
7,a-woman-cannot-survive-on-wine-alone-she,1
8,a-woman-with-courage-and-a-belgian-malinois,1
9,a-yorkie-is-my-bff-friend-forever-long-sleeve,1
10,adopt-a-catahoula-leopard-dog-tshirt-rescue,1
11,adopt-a-dog-save-a-life-rescue-belgian,1
12,adopt-a-dog-save-a-life-rescue-belgian-374,1
13,adopt-a-dog-save-a-life-rescue-german,1
14,adopt-a-dog-save-a-life-rescue-german-700,1
15,adopt-a-dog-save-a-life-rescue-scottish,1
16,adopt-a-dog-save-a-life-rescue-scottish-318,1
17,adopt-a-dog-tee-dog-rescue-animal-lover-tee,1
18,adopt-and-rescue-animal-tshirt-for-animal,1
19,adopt-dont-shop-dog-funny-dog-dad-mom,1
20,adopt-dont-shop-tshirt-rescue-animals-shirt,1
21,adorable-anatomy-of-a-newfoundland-dog-shirt,1
22,adulting-would-not-recommend-funny-one-star,1
23,adventure-time-ice-king-geo-tshirt-copy-mug,1
24,adventure-time-sugar-zombies-tshirt-mug,1
25,afghan-hound-dog-vintage-retro-gift-for,1
26,agility-dog-tshirt-love-wine-and-dogs-that,1
27,airedale-terrier-dabbing-tshirt-funny-dab-dog,1
28,airedale-terrier-dabbing-tshirt-funny-dab-dog-726,1
29,airedale-terrier-mom-gift-my-sunshine,1
30,airedale-terrier-mom-gift-my-sunshine-985,1
31,akita-american-flag-patriotic-dog-gift-long,1
32,akita-funny-dog-tilt-head-cute-gift-men-women,1
33,akita-irish-american-flag-st-patricks-day,1
34,akita-pullover-hoodie-copy-mug,1
35,akita-pullover-hoodie-mug,1
36,akita-vintage-graphic-shirt-dog-owner-dog-mom,1
37,akita-vintage-graphic-shirt-dog-owner-dog-mom-553,1
38,alaskan-in-pocket-hat-cute-christmas-dog,1
39,alaskan-malamute-dog-mom-silhouette-retro,1
40,alaskan-malamute-dog-mom-silhouette-retro-786,1
41,alaskan-malamute-irish-clover-st-patrick-day,1
42,alaskan-malamute-mom-sweatshirt-copy-mug,1
43,aliner-travel-trailer-aframe-camper-with-dog,1
44,all-i-care-about-are-my-dogs-and-like-maybe-3,1
45,all-i-need-is-coffee-and-my-dog-it-is-too,1
46,all-i-need-is-love-and-a-boxer-dog-sweatshirt,1
47,all-i-need-is-love-and-a-pomsky-sweatshirt,1
48,all-i-need-is-my-dog-and-my-jeeps-t-shirt,1
49,all-i-want-for-christmas-7-dachshunds-ugly,1
50,all-i-want-for-xmas-is-my-beagle-ugly,1
51,all-roads-lead-to-putin-nancy-pelosi-dusty,1
52,all-roads-lead-to-putin-nancy-pelosi-dusty-179,1
53,all-you-need-is-chihuahua-dog-lover-gift,1
54,all-you-need-is-love-and-a-dog-named-buddy,1
55,all-you-need-is-love-and-a-dog-named-lily-t,1
56,all-you-need-is-love-and-a-dog-named,1
