Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
490-dog-years-old-funny-70th-birthday-gift,490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mug,"<p>Enjoy your morning with a funny coffee cup design! This coffee mug is the perfect conversation starter, and sure to amuse anyone. <br />Grip it and sip it. Are you looking for some special gift for your friends, your father, your mother, son, boyfriend, girlfriend? We have this idea for you. This product <strong>490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mug</strong> is perfect for you. Full-color imprinting, strong ceramic construction, and everyday convenience come together in one product.</p>
<ul>
<li>Funny, unique, pretty, or personal, it's your choice for the perfect coffee mug for the one you love.</li>
<li>Printed on only the highest quality mugs. The print will never fade no matter how many times it is washed.</li>
<li>11 oz. and 15 oz. options available.</li>
<li>Perfect for all hot &amp; cold beverages.</li>
<li>High Gloss + Premium White Finish</li>
<li>Microwave safe.</li>
<li>Dishwasher safe.</li>
</ul>
<p>Whether you're drinking your morning coffee, evening tea, or something in between &ndash; this mug's for you! It's sturdy and glossy with a vivid print that'll withstand the microwave and dishwasher.</p>",Amazingazx,Mug,,TRUE,color,15oz,color,green,,,,100,1,,deny,manual,,,TRUE,FALSE,,https://rogo-speaker.s3.amazonaws.com/images/490DogYearsOldFunny70thBirthdayGiftSweatshirtcopy-mug-01.png,1,490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mug,FALSE,,,,,,,,,,,,,,,,,g,,,active
490-dog-years-old-funny-70th-birthday-gift,,,,,,,,15oz,,red,,,,100,1,,deny,manual,,,TRUE,FALSE,,https://rogo-speaker.s3.amazonaws.com/images/490DogYearsOldFunny70thBirthdayGiftSweatshirtcopy-mug-02.png,2,490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mug,FALSE,,,,,,,,,,,,,,,,,g,,,active
490-dog-years-old-funny-70th-birthday-gift,,,,,,,,13oz,,green,,,,100,1,,deny,manual,,,TRUE,FALSE,,https://rogo-speaker.s3.amazonaws.com/images/490DogYearsOldFunny70thBirthdayGiftSweatshirtcopy-mug-03.png,3,490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mug,FALSE,,,,,,,,,,,,,,,,,g,,,active
490-dog-years-old-funny-70th-birthday-gift,,,,,,,,13oz,,red,,,,100,1,,deny,manual,,,TRUE,FALSE,,https://rogo-speaker.s3.amazonaws.com/images/490DogYearsOldFunny70thBirthdayGiftSweatshirtcopy-mug-04.png,4,490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mug,FALSE,,,,,,,,,,,,,,,,,g,,,active
490-dog-years-old-funny-70th-birthday-gift,,,,,,,,,,,,,,,,,,,,,,,,https://rogo-speaker.s3.amazonaws.com/images/490DogYearsOldFunny70thBirthdayGiftSweatshirtcopy-mug-05.png,5,490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mug,,,,,,,,,,,,,,,,,,,,,
a-boxer-is-my-bff-friend-forever-pullover,A Boxer Is My Bff Best Friend Forever Pullover Hoodie Copy-Mug,"<p>Enjoy your morning with a funny coffee cup design! This coffee mug is the perfect conversation starter, and sure to amuse anyone. <br />Grip it and sip it. Are you looking for some special gift for your friends, your father, your mother, son, boyfriend, girlfriend? We have this idea for you. This product <strong>A Boxer Is My Bff Best Friend Forever Pullover Hoodie Copy-Mug</strong> is perfect for you. Full-color imprinting, strong ceramic construction, and everyday convenience come together in one product.</p>
<ul>
<li>Funny, unique, pretty, or personal, it's your choice for the perfect coffee mug for the one you love.</li>
<li>Printed on only the highest quality mugs. The print will never fade no matter how many times it is washed.</li>
<li>11 oz. and 15 oz. options available.</li>
<li>Perfect for all hot &amp; cold beverages.</li>
<li>High Gloss + Premium White Finish</li>
<li>Microwave safe.</li>
<li>Dishwasher safe.</li>
</ul>
<p>Whether you're drinking your morning coffee, evening tea, or something in between &ndash; this mug's for you! It's sturdy and glossy with a vivid print that'll withstand the microwave and dishwasher.</p>",Amazingazx,Mug,,TRUE,color,11oz,,,,,,100,1,,deny,manual,14.95,,TRUE,FALSE,,https://rogo-speaker.s3.amazonaws.com/images/ABoxerIsMyBFFBestFriendForeverPulloverHoodiecopy-mug-01.png,1,A Boxer Is My Bff Best Friend Forever Pullover Hoodie Copy-Mug,FALSE,,,,,,,,,,,,,,,,,g,,,active
a-boxer-is-my-bff-friend-forever-pullover,,,,,,,,15oz,,,,,,100,1,,deny,manual,17.95,,TRUE,FALSE,,https://rogo-speaker.s3.amazonaws.com/images/ABoxerIsMyBFFBestFriendForeverPulloverHoodiecopy-mug-02.png,2,A Boxer Is My Bff Best Friend Forever Pullover Hoodie Copy-Mug,FALSE,,,,,,,,,,,,,,,,,g,,,active
a-boxer-is-my-bff-friend-forever-pullover,,,,,,,,,,,,,,,,,,,,,,,,https://rogo-speaker.s3.amazonaws.com/images/ABoxerIsMyBFFBestFriendForeverPulloverHoodiecopy-mug-03.png,3,A Boxer Is My Bff Best Friend Forever Pullover Hoodie Copy-Mug,,,,,,,,,,,,,,,,,,,,,
a-boxer-is-my-bff-friend-forever-pullover,,,,,,,,,,,,,,,,,,,,,,,,https://rogo-speaker.s3.amazonaws.com/images/ABoxerIsMyBFFBestFriendForeverPulloverHoodiecopy-mug-04.png,4,A Boxer Is My Bff Best Friend Forever Pullover Hoodie Copy-Mug,,,,,,,,,,,,,,,,,,,,,
a-boxer-is-my-bff-friend-forever-pullover,,,,,,,,,,,,,,,,,,,,,,,,https://rogo-speaker.s3.amazonaws.com/images/ABoxerIsMyBFFBestFriendForeverPulloverHoodiecopy-mug-05.png,5,A Boxer Is My Bff Best Friend Forever Pullover Hoodie Copy-Mug,,,,,,,,,,,,,,,,,,,,,
