Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Code,Cost_per_item
ionic-foot-bath-detoxer,Ionic Foot Bath Detoxer,"<h1>What It Does</h1>
<p>The Detoxer is a unique way to effectively detoxify the body by drawing out toxins through the feet in order to cleanse your body of impurities. As your feet soak in the Ionic Foot Spa™, chemicals are drawn out which may cleans your body of years' worth of stored toxins! </p>
<p><img src=""https://cdn.shopify.com/s/files/1/0436/4573/0970/files/ezgif.com-video-to-gif_480x480.gif?v=1595658596"" alt="""" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<h1>How It Works</h1>
<p>The Ionic Foot Spa™ works by ionizing the water in a safe and relaxing way to cleanse the body. This process gives the hydrogen in the water a positive charge, which attracts the negatively charged toxins in the body. The ions in the Ionic Foot Spa™ hold a charge that enables them to bind to heavy metals and toxins found within the body forcing them out.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0436/4573/0970/files/Gallery_15_480x480.png?v=1595463531"" alt="""" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<h1>Common Benefits</h1>
<ul>
<li>Better quality of sleep with improved energy</li>
<li>Helps clear skin and combat physical soreness</li>
<li>Helps Boosts Immune System</li>
<li>Improves Focus and mental Clarity</li>
<li>Reduces Swelling and Inflammation</li>
<li>Balances PH Levels</li>
</ul>
<h1><strong>What the Colors Mean</strong></h1>
<div>While the mucky water might scare you away, this is actually a good sign! When the water changes colors it is simply toxins being removed from your body through reverse osmosis. Yes the water looks bad, but it's better than being inside your body!</div>
<div> </div>
<p><img src=""https://cdn.shopify.com/s/files/1/0436/4573/0970/files/Toxins_Removed_Gif_480x480.gif?v=1595965197"" alt="""" width=""273"" height=""274"" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<p><img src=""https://cdn.shopify.com/s/files/1/0436/4573/0970/files/Gallery_42_480x480.jpg?v=1595549699"" alt="""" width=""183"" height=""570"" style=""display: block; margin-left: auto; margin-right: auto;""> </p>
<h1>What's Included</h1>
<p>1x Detoxer's Controller<br>1x Detoxer's Activator<br>1x AC Adapter<br>1x Instructions Manual<br>1x Portable Tub (if bought)</p>
<p>Shipping: We ship our products within 1-5 days. Visit<span> </span><a href=""https://a-volve.com/pages/shipping-policy"" title=""Shipping policy"">shipping policy</a><span> </span>to know more about the delivery.</p>
<p>(Free Insured Shipping)</p>
<p><span data-preserver-spaces=""true""><b>Our Guarantee :</b></span></p>
<p><span data-preserver-spaces=""true"">All products on <strong>Avolve</strong> have the <strong>Returns &amp; Refund guarantee</strong>. Any product bought through the site is protected if the items you received are not as described. You can always return it. The refund policy lasts for 30 days After Delivery.</span></p>",KatyCraft,,Amazon,TRUE,Pick Your Color (for Activator),White,Want a Tub?,With Tub,,,,100,,1,deny,manual,63.95,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/ezgif.com-webp-to-jpg_72.jpg,1,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/Edited5_1024x1024_2x_763998a8-fba8-4ad8-b650-4847ed194499.jpg,,,
ionic-foot-bath-detoxer,,,,,,,,White,,Without Tub,,,,100,,1,deny,manual,63.95,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/Edited5_1024x1024_2x_763998a8-fba8-4ad8-b650-4847ed194499.jpg,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/ezgif.com-webp-to-jpg_73.jpg,,,
ionic-foot-bath-detoxer,,,,,,,,Black,,With Tub,,,,100,,1,deny,manual,63.95,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/ezgif.com-webp-to-jpg_73.jpg,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/product-image-1308453360.jpg,,,
ionic-foot-bath-detoxer,,,,,,,,Black,,Without Tub,,,,100,,1,deny,manual,63.95,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/product-image-1308453360.jpg,4,,,,,,,,,,,,,,,,,,,,,
shockproof-kalimba-bag-case,Shockproof Kalimba Bag/Case,"<p>Oxford cloth processed and made, thick sponge treatments can protect your love Kalimba, fine quality and stylish.</p>
<p><strong>Features:</strong><br>Carrying case specially designed for thumb piano.<br>Shockproof and waterproof case perfectly protect your kalimba.<br>Comes with a cleaning cloth (random color delivery), a pair of gloves and 4pcs finger stalls.<br>Small, practical and easy to carry.</p>
<p data-spm-anchor-id=""a2g0o.detail.1000023.i0.69887e1cTiUMZD""><strong>Specifications:</strong><br>Color: black, blue (optional)<br>Material: oxford cloth, sponge<br>Item size: 245 * 195 * 75mm / 9.6 * 7.7 * 3.0in<br>Item weight: 270g / 9.5ounce<br>Package size: 250 * 200 * 80mm / 9.8 * 7.9 * 3.1in<br>Package weight: 275g / 9.7ounce</p>
<p><strong>Package list:</strong><br><span>1 * Thumb Piano Bag</span></p>",KatyCraft,,Amazon,TRUE,Color,"Black,Blue",,,,,,100,,1,deny,manual,21.95,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/HTB1x9N2evImBKNjSZFlq6A43FXa4.jpg,1,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/HTB1nnN7eBsmBKNjSZFFq6AT9VXaO.jpg,,,
shockproof-kalimba-bag-case,,,,,,,,"Black,Blue",,,,,,100,,1,deny,manual,21.95,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/HTB1nnN7eBsmBKNjSZFFq6AT9VXaO.jpg,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/product-image-1338175132.jpg,,,
shockproof-kalimba-bag-case,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/product-image-1338175132.jpg,3,,,,,,,,,,,,,,,,,,,,,
shockproof-kalimba-bag-case,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/ezgif.com-webp-to-jpg_71.jpg,4,,,,,,,,,,,,,,,,,,,,,
shockproof-kalimba-bag-case,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/product-image-1338175120.jpg,5,,,,,,,,,,,,,,,,,,,,,
shockproof-kalimba-bag-case,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0353/7135/2123/products/product-image-1338175130.jpg,6,,,,,,,,,,,,,,,,,,,,,
