Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
490-dog-years-old-funny-70th-birthday-gift,490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mug,dvdsbvsd490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mugdfbdfsb,vendor,type,"490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mug,asdasd",TRUE,Color,Blacksdfdf,Type,15Oz,,100,1,,deny,manual,12,,TRUE,FALSE,,https://rogo-speaker.s3.amazonaws.com/images/490DogYearsOldFunny70thBirthdayGiftSweatshirtcopy-mug-01.png,1,490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mug,FALSE,,,,,,,,,,,,,,,,,g,,,active
490-dog-years-old-funny-70th-birthday-gift,,,,,,,,Blacksdfdf,,13Oz,,100,1,,deny,manual,3,,TRUE,FALSE,,https://rogo-speaker.s3.amazonaws.com/images/490DogYearsOldFunny70thBirthdayGiftSweatshirtcopy-mug-02.png,2,490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mug,FALSE,,,,,,,,,,,,,,,,,g,,,active
490-dog-years-old-funny-70th-birthday-gift,,,,,,,,White,,15Oz,,100,1,,deny,manual,4,,TRUE,FALSE,,https://rogo-speaker.s3.amazonaws.com/images/490DogYearsOldFunny70thBirthdayGiftSweatshirtcopy-mug-03.png,3,490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mug,FALSE,,,,,,,,,,,,,,,,,g,,,active
490-dog-years-old-funny-70th-birthday-gift,,,,,,,,White,,13Oz,,100,1,,deny,manual,5,,TRUE,FALSE,,https://rogo-speaker.s3.amazonaws.com/images/490DogYearsOldFunny70thBirthdayGiftSweatshirtcopy-mug-04.png,4,490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mug,FALSE,,,,,,,,,,,,,,,,,g,,,active
490-dog-years-old-funny-70th-birthday-gift,,,,,,,,Navy,,15Oz,,100,1,,deny,manual,6,,TRUE,FALSE,,https://rogo-speaker.s3.amazonaws.com/images/490DogYearsOldFunny70thBirthdayGiftSweatshirtcopy-mug-05.png,5,490 Dog Years Old Funny 70Th Birthday Gift Sweatshirt Copy-Mug,FALSE,,,,,,,,,,,,,,,,,g,,,active
490-dog-years-old-funny-70th-birthday-gift,,,,,,,,Navy,,13Oz,,100,1,,deny,manual,7,,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,,active
490-dog-years-old-funny-70th-birthday-gift,,,,,,,,Red,,15Oz,,100,1,,deny,manual,8,,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,,active
490-dog-years-old-funny-70th-birthday-gift,,,,,,,,Red,,13Oz,,100,1,,deny,manual,9,,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,,active
490-dog-years-old-funny-70th-birthday-gift,,,,,,,,Royal,,15Oz,,100,1,,deny,manual,20,,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,,active
490-dog-years-old-funny-70th-birthday-gift,,,,,,,,Royal,,13Oz,,100,1,,deny,manual,22,,TRUE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,,active
